اسم السيارة,موديل السيارة,سعر السيارة,لون السيارة,نوع الوقود,أصل السيارة,رخصة السيارة,نوع الجير,الزجاج,قوة الماتور,عداد السيارة,عدد الركاب,وسيلة الدفع,معروضة,أصحاب سابقون,إضافات,حالة الإعلان,تاريخ نشر الإعلان,تاريخ إنتهاء الإعلان,Number_of_Additions,فتحة السقف,الدفع
كيا اوبتيما,موديل سنة 2014,100000 شيكل,أبيض عاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,75000,4+1,نقدا فقط,للبيع فقط,يد اولى,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-08-16,2017-09-15,7.0,1.0,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
كيا سورينتو,موديل سنة 2007,60000 شيكل,سكني,ديزل,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,2500,130000,7+1,إمكانية التقسيط,للبيع أو التبديل,2,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-08-16,2017-09-30,7.0,1.0,
هونداي افانتي,موديل سنة 2006,43500 شيكل,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,,نقدا فقط,للبيع فقط,,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-08-19,2017-09-18,7.0,0.0,
,,,,,,,,,,,,,,,,,,,,,
فيات 127,موديل سنة 1982,5500 شيكل,بيج,بنزين,خصوصي,فلسطينية,عادي,يدوي,906,شغال,4+1,إمكانية التقسيط,للبيع فقط,00,مُكيّفمسجل CD,إعلان منتهي,2017-08-17,2017-09-22,2.0,0.0,
بيجو 208,موديل سنة 2014,54000 شيكل,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1200,38000,4+1,نقدا فقط,للبيع فقط,,مُكيّفإغلاق مركزيجهاز إنذارجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2017-08-17,2017-10-01,5.0,0.0,
بي ام دبليو x3,موديل سنة 2015,205000 شيكل,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,5+1,نقدا فقط,للبيع فقط,0,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-09-07,2017-10-07,7.0,1.0,
اوبل كورسا,موديل سنة 2015,65000 شيكل,بترولي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,١٢٣٤٥٦,٤+١,إمكانية التقسيط,للبيع فقط,يد اولى,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-08-19,2017-09-18,7.0,0.0,
مرسيدس C200,موديل سنة 2014,230000 شيكل,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,50000,4+1,إمكانية التقسيط,للبيع فقط,1,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-08-19,2017-09-18,7.0,1.0,
,,,,,,,,,,,,,,,,,,,,,
فورد فيستا,موديل سنة 2014,59000 شيكل,أسود ميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,,نقدا فقط,للبيع فقط,,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDوسادة حماية هوائية,إعلان منتهي,2017-08-19,2017-09-03,5.0,0.0,
,,,,,,,,,,,,,,,,,,,,,
نيسان باترول,موديل سنة 2003,84000 شيكل,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,4500,56000,8,إمكانية التقسيط,للبيع فقط,0,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-08-19,2017-10-03,7.0,0.0,
فورد ترانزيت,موديل سنة 2005,75000 شيكل,أبيض عاجي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2500,460000,7+1,إمكانية التقسيط,للبيع أو التبديل,يد اولى,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDوسادة حماية هوائية,إعلان منتهي,2017-08-19,2017-09-18,5.0,0.0,
بيجو 206+,موديل سنة 2012,39000 شيكل,فضي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,,4+1,نقدا فقط,للبيع فقط,يد ثانية,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2017-08-19,2017-09-18,6.0,0.0,
سكودا فابيا,موديل سنة 2016,73000 شيكل,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1200,45000,4+1,نقدا فقط,للبيع فقط,0,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2017-08-19,2017-09-03,6.0,0.0,
فيات 1998,موديل سنة 1998,30000 شيكل,ذهبي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,70000,4+1,إمكانية التقسيط,للبيع أو التبديل,4,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDوسادة حماية هوائية,إعلان منتهي,2017-08-20,2017-09-19,5.0,0.0,
سكودا فابيا,موديل سنة 2012,55000 شيكل,أسود ميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1200,,,نقدا فقط,للبيع فقط,,مُكيّفمسجل CDجنطات مغنيسيوم,إعلان منتهي,2017-08-20,2017-09-19,3.0,0.0,
,,,,,,,,,,,,,,,,,,,,,
كيا برايد,موديل سنة 2014,66000 شيكل,فيراني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1400,79000,4+1,نقدا فقط,للبيع فقط,1,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-08-20,2017-09-19,7.0,0.0,
بيجو بارتنر,موديل سنة 2011,55000 شيكل,أحمر,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,000,,نقدا فقط,للبيع فقط,يد ثانيه,مُكيّفإغلاق مركزيمسجل CDوسادة حماية هوائية,إعلان منتهي,2017-08-20,2017-09-19,4.0,0.0,
فولكسفاجن كادي,موديل سنة 2014,100000 شيكل,سكني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,150 الف,6+1,إمكانية التقسيط,للبيع أو التبديل,,مُكيّفإغلاق مركزيمسجل CD,إعلان منتهي,2017-08-20,2017-09-19,3.0,0.0,
هوندا اكورد,موديل سنة 1997,2600 شيكل,ذهبي,بنزين,خصوصي,نمرة صفراء,اوتوماتيك,الكتروني,1800,210000,4+١,نقدا فقط,للبيع فقط,3,مُكيّفإغلاق مركزيمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-08-21,2017-09-20,6.0,1.0,
اوبل اسكونا,موديل سنة 1967,1800 شيكل,أزرق,بنزين,خصوصي,فلسطينية,عادي,يدوي,1200,1,4+1,إمكانية التقسيط,للبيع فقط,2,مسجل CDجنطات مغنيسيوم,إعلان منتهي,2017-08-21,2017-09-20,2.0,0.0,
,,,,,,,,,,,,,,,,,,,,,
هونداي سانتافيه,موديل سنة 2008,77000 شيكل,أزرق سماوي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2200,20000,6+1,نقدا فقط,للبيع فقط,3,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقففرش جلدوسادة حماية هوائية,إعلان منتهي,2017-08-21,2017-10-05,6.0,1.0,
,,,,,,,,,,,,,,,,,,,,,
هونداي الانترا,موديل سنة 1999,20000 شيكل,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,00000000000000000,4+1,نقدا فقط,للبيع فقط,ثالثة,إغلاق مركزيمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-08-21,2017-09-20,5.0,0.0,
هونداي i30,موديل سنة 2010,61000 شيكل,رمادي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,113000,4+1,إمكانية التقسيط,للبيع فقط,2,مُكيّفجهاز إنذارمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2017-08-21,2017-09-05,6.0,0.0,
